Designator,Mid X,Mid Y,Rotation,Layer
C1,22.225,14.097,0.0,bottom
C2,22.225,10.16,0.0,bottom
C3,22.225,6.223,0.0,bottom
C4,7.239,10.16,90.0,top
D1,6.223,18.923,270.0,top
D2,21.844,1.27,90.0,top
D3,21.844,18.923,270.0,top
P1,0.635,10.16,270.0,top
P2,13.97,0.508,0.0,top
P3,13.97,19.685,180.0,top
U1,14.605,10.22,270.0,top
Y1,22.606,10.16,90.0,top
