Designator,Footprint,Quantity,Value,LCSC Part #
C1,C1206,1,10uF,
C2,C1206,1,0.1uF,
"C3, C4",C1206,2,1uF,
"D1, D3",SMA_DO_214AC,2,1N4001,
D2,D_SMA,1,1N4001,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"P1, P2, P3",TH_USB_C,3,USB_C_Receptacle_USB2.0,
U1,SSOP-28_3.9x9.9mm_P0.635mm,1,CH334U,
Y1,SMD_O5032,1,12MHz,
